Discounted_Price,Actual_Price,Current_Discount,Rating,Sales,Type,Optimal_Discount
₹197,₹499,61%,3.8,136,Electronics,3.4015025578728895
"₹1,299","₹2,499",48%,4.3,301,Electronics,8.251515777796424
"₹1,519","₹1,899",20%,4.4,19763,Computers&Accessories,32.091434659485685
"₹46,999","₹69,999",33%,4.3,21252,Electronics,20.253276014628028
₹299,₹799,63%,4.3,1902,Computers&Accessories,29.341936511635126
"₹1,799","₹19,999",91%,4.2,13937,Electronics,17.58646711957593
"₹1,998","₹9,999",80%,4.3,27696,Electronics,14.919515985233463
"₹1,999","₹7,990",75%,3.8,17831,Electronics,13.888397718739846
"₹2,049","₹2,199",7%,4.3,178912,Electronics,7.695808956786015
"₹6,499","₹8,999",28%,4.0,7807,Electronics,14.443259742591655
"₹28,999","₹28,999",0%,4.3,17415,Electronics,18.64536414765329
"₹28,999","₹28,999",0%,4.3,17415,Electronics,18.64536414765329
"₹6,499","₹8,999",28%,4.0,7807,Electronics,14.443259742591655
"₹6,499","₹8,999",28%,4.0,7807,Electronics,14.443259742591655
₹569,"₹1,000",43%,4.4,67259,Electronics,4.9199604593095145
"₹1,898","₹4,999",62%,4.1,10689,Electronics,11.58562702596618
"₹1,299","₹1,599",19%,4.0,128311,Electronics,6.432815942463528
"₹1,499","₹6,990",79%,3.9,21796,Electronics,13.246343556334816
₹599,₹999,40%,4.1,192590,Electronics,4.9171822184916
"₹9,499","₹11,999",21%,4.2,284,Electronics,15.703928143683108
₹599,"₹2,499",76%,3.9,58162,Electronics,8.251515777796424
"₹8,999","₹11,999",25%,4.0,12796,Electronics,15.703928143683108
₹349,"₹1,299",73%,4.0,14282,Electronics,5.711091326642954
₹349,₹999,65%,4.1,363713,Electronics,4.9171822184916
₹959,"₹1,800",47%,4.4,67259,Electronics,6.880744773035005
"₹9,499","₹11,999",21%,4.2,284,Electronics,15.703928143683108
"₹1,499","₹2,499",40%,4.3,15970,Electronics,8.251515777796424
"₹1,149","₹2,199",48%,4.3,178912,Electronics,7.695808956786015
₹349,₹999,65%,3.9,46399,Electronics,4.9171822184916
"₹1,219","₹1,699",28%,4.4,8891,Electronics,6.6590259914784955
"₹1,599","₹3,999",60%,4.0,30254,Electronics,10.47428130977438
"₹1,499","₹7,999",81%,4.2,22636,Electronics,13.893727672172043
"₹18,499","₹25,999",29%,4.1,22318,Electronics,18.360716612733817
₹369,₹700,47%,4.4,67259,Electronics,4.042767476853374
"₹12,999","₹17,999",28%,4.1,18998,Electronics,17.238611994883527
"₹1,799","₹19,999",91%,4.2,13937,Electronics,17.58646711957593
"₹2,199","₹9,999",78%,4.2,29471,Electronics,14.919515985233463
"₹16,999","₹24,999",32%,4.1,22318,Electronics,18.253182677827912
"₹16,499","₹20,999",21%,4.0,21350,Electronics,17.74032534513846
"₹1,799","₹19,999",91%,4.2,13937,Electronics,17.58646711957593
₹399,"₹1,099",64%,4.2,24270,Computers&Accessories,30.190158473000817
"₹8,499","₹10,999",23%,4.1,313836,Electronics,15.336236476560591
"₹6,499","₹8,499",24%,4.1,313836,Electronics,14.17867098107656
"₹1,799","₹19,999",91%,4.2,13937,Electronics,17.58646711957593
"₹8,999","₹11,999",25%,4.0,12796,Electronics,15.703928143683108
₹139,₹495,72%,4.3,14185,Electronics,3.388264978569448
"₹3,999","₹16,999",76%,4.3,17159,Electronics,17.04096595955953
"₹2,998","₹5,999",50%,4.1,5179,Electronics,12.494891513647788
₹199,₹349,43%,4.0,43993,Computers&Accessories,27.891205793079493
"₹15,499","₹18,999",18%,4.1,19252,Electronics,17.419786840964306
₹199,₹999,80%,3.9,7928,Computers&Accessories,29.916844078715123
"₹1,799","₹19,999",91%,4.2,13937,Electronics,17.58646711957593
"₹8,999","₹11,999",25%,4.0,12796,Electronics,15.703928143683108
₹873,"₹1,699",49%,4.4,1680,Electronics,6.6590259914784955
"₹12,999","₹15,999",19%,4.2,13246,Electronics,16.824495595903322
₹539,"₹1,599",66%,3.8,14648,Electronics,6.432815942463528
"₹1,999","₹9,999",80%,4.3,27696,Electronics,14.919515985233463
"₹15,490","₹20,990",26%,4.2,32916,Electronics,17.738993420704922
"₹19,999","₹24,999",20%,3.9,25824,Electronics,18.253182677827912
"₹1,075","₹1,699",37%,4.4,7462,Electronics,6.6590259914784955
₹399,₹699,43%,4.0,37817,Electronics,4.03968906666753
"₹1,999","₹3,990",50%,4.0,30254,Electronics,10.463156603173067
"₹1,999","₹7,990",75%,3.8,17831,Electronics,13.888397718739846
₹329,₹699,53%,4.2,94364,Computers&Accessories,29.03935092689105
₹154,₹399,61%,4.2,16905,Computers&Accessories,28.06434047721656
